brand,km_driven,fuel,owner,selling_price
Honda,45524,Electric,First Owner,1764260
Jaguar,159404,CNG,First Owner,1465374
Fiat,115160,Diesel,Fourth Owner,2154040
Kia,151836,Electric,Fourth Owner,3456217
Audi,163635,Petrol,Second Owner,1965601
Fiat,223747,Electric,Fourth Owner,1521143
Skoda,172442,Diesel,First Owner,845746
Maruti,10062,CNG,First Owner,930833
BMW,49645,Petrol,Fourth Owner,4063753
Volkswagen,127759,CNG,Fourth Owner,4173693
Volkswagen,12244,CNG,Fourth Owner,2290372
Volvo,142444,Petrol,First Owner,2757130
Skoda,241481,Electric,Third Owner,4913952
Isuzu,90501,Electric,Third Owner,3314651
Lexus,122450,CNG,Fourth Owner,3791842
Isuzu,200543,Electric,Second Owner,3485166
Hyundai,246605,Diesel,Second Owner,2512461
Chevrolet,21956,CNG,Third Owner,1923991
Hyundai,176545,CNG,Fourth Owner,1992462
Fiat,149966,CNG,First Owner,1941967
Toyota,246656,Diesel,Second Owner,1977723
Jeep,234990,CNG,Second Owner,3144035
Honda,205658,Electric,First Owner,4710194
Nissan,21709,Electric,First Owner,240631
Tata,217330,Electric,Fourth Owner,4850844
Audi,123428,Electric,First Owner,3533976
Volkswagen,20210,CNG,First Owner,1018055
Lexus,185582,Diesel,First Owner,1738533
Fiat,107081,Petrol,Third Owner,4075133
Fiat,174746,Electric,First Owner,3144514
Skoda,105025,Petrol,Second Owner,1056871
Jaguar,153805,Petrol,Fourth Owner,4766428
Hyundai,156152,CNG,Fourth Owner,596644
Volkswagen,238272,Electric,Fourth Owner,4917956
Chevrolet,189484,Electric,Third Owner,1863787
Jaguar,129476,Electric,Second Owner,3564408
Porsche,195043,Petrol,First Owner,2190982
Skoda,175781,Electric,Second Owner,791298
Force,64846,Electric,Fourth Owner,569671
Honda,70480,Diesel,First Owner,4915808
Jeep,247840,CNG,Fourth Owner,2978727
Datsun,57960,Electric,Fourth Owner,4215030
Kia,239622,Electric,Fourth Owner,2050291
Mini,177224,CNG,Second Owner,3228543
Citroen,163322,CNG,Second Owner,3085994
Fiat,90765,Petrol,Fourth Owner,3698662
Land Rover,122265,Petrol,Fourth Owner,1072473
Volkswagen,53137,Petrol,First Owner,1409050
Renault,218083,CNG,Fourth Owner,593798
Ford,123922,Diesel,Fourth Owner,3721481
Force,126280,Electric,Fourth Owner,4982882
Jaguar,182484,CNG,Fourth Owner,1057644
BMW,48876,Diesel,Second Owner,1510916
Volvo,99547,CNG,Fourth Owner,2904118
Mitsubishi,209736,Diesel,Third Owner,2702034
Ford,55227,CNG,Fourth Owner,2135424
Honda,168522,CNG,Second Owner,3320740
Force,89433,Diesel,Third Owner,3305599
Maruti,78704,Diesel,Third Owner,216445
Isuzu,11861,Diesel,Fourth Owner,3983230
Citroen,243366,Diesel,Fourth Owner,2095020
BMW,66914,Diesel,Second Owner,1892892
Volkswagen,68888,Diesel,Third Owner,2488886
Hyundai,84286,Diesel,Third Owner,4739037
Fiat,66293,Diesel,Second Owner,1636384
Honda,218596,CNG,Fourth Owner,2095377
Jeep,73515,Diesel,First Owner,4977530
Mitsubishi,159596,Diesel,First Owner,1674771
Mini,12065,CNG,Third Owner,2616306
Kia,173756,CNG,Third Owner,865825
MG,93720,Petrol,Fourth Owner,1466320
Volkswagen,169437,Petrol,First Owner,3525487
Kia,63876,Diesel,Third Owner,4369779
Renault,159776,Diesel,Fourth Owner,4141214
Force,193929,Petrol,First Owner,4389794
Mercedes,141694,Petrol,Second Owner,1234932
Citroen,88797,Electric,Third Owner,1397315
Chevrolet,246540,Electric,Second Owner,4080863
Mitsubishi,230027,Diesel,First Owner,3878463
Jeep,236075,Electric,Fourth Owner,3960213
Fiat,96141,Petrol,Fourth Owner,3454657
Land Rover,230779,Diesel,First Owner,2229719
Mercedes,223772,CNG,Second Owner,2974341
Volkswagen,247805,CNG,Fourth Owner,2501460
Force,215404,Petrol,Third Owner,4820578
Chevrolet,107390,Electric,Second Owner,4590431
MG,101856,CNG,Second Owner,4796784
Jaguar,71201,Electric,Third Owner,3202374
Audi,168766,CNG,First Owner,4654996
Honda,94766,Electric,Fourth Owner,225605
Fiat,27995,CNG,Second Owner,622962
Kia,97320,CNG,Fourth Owner,246628
Land Rover,85141,Diesel,Fourth Owner,4620845
Mini,219071,Diesel,Second Owner,4115450
Citroen,144491,Petrol,First Owner,1863376
Isuzu,184024,CNG,Second Owner,4009475
Honda,169909,Electric,First Owner,4537095
Jaguar,75799,CNG,Third Owner,4511298
Chevrolet,184949,Electric,First Owner,2633588
Volkswagen,242327,Electric,First Owner,2014372
Mitsubishi,50687,CNG,Second Owner,3942166
Datsun,235739,Electric,Fourth Owner,4622878
Chevrolet,42276,Petrol,Fourth Owner,4557713
Audi,39523,Diesel,First Owner,1376327
Jeep,202127,Electric,First Owner,2384540
Datsun,59615,CNG,Second Owner,3310545
Kia,232714,Diesel,First Owner,1506668
Jaguar,246112,Petrol,Second Owner,4195980
Toyota,15514,Electric,Third Owner,4873376
Tata,52456,Electric,First Owner,3132746
BMW,12233,Diesel,Third Owner,1385286
Renault,6102,Electric,First Owner,1635369
Mitsubishi,71133,CNG,First Owner,352673
Citroen,51715,Diesel,Third Owner,3981999
Porsche,221265,Diesel,Third Owner,159133
Porsche,115545,Electric,Second Owner,622582
Land Rover,109085,Petrol,Second Owner,1148399
Land Rover,114101,Petrol,Third Owner,2536634
Hyundai,142328,Petrol,First Owner,2509437
Mini,113684,Petrol,Second Owner,1814591
Mercedes,69800,Diesel,First Owner,4074024
Skoda,99937,Diesel,Fourth Owner,1602180
Nissan,46548,Electric,Second Owner,3609573
Jeep,208162,Petrol,Second Owner,4459054
Mercedes,214272,Petrol,Second Owner,2711037
Land Rover,178439,Electric,Fourth Owner,1109361
MG,133845,Electric,Third Owner,3132891
Datsun,118815,Electric,First Owner,2056152
MG,225994,CNG,Fourth Owner,1871087
Chevrolet,206454,Electric,Third Owner,4387178
Volkswagen,132602,Electric,Second Owner,2751095
BMW,131270,CNG,Third Owner,427590
Skoda,131320,Petrol,Third Owner,4302318
Nissan,162277,Diesel,Third Owner,2389955
Mitsubishi,30570,Petrol,First Owner,4992725
Maruti,166327,Diesel,Third Owner,3052336
Citroen,26182,Diesel,Third Owner,4773109
BMW,44373,Electric,Third Owner,1822844
Tata,48019,Electric,Third Owner,259765
Mercedes,198691,CNG,Fourth Owner,2079683
Skoda,21043,Petrol,Fourth Owner,3455676
Porsche,181604,Petrol,Third Owner,3813718
Volvo,237362,Diesel,Third Owner,1171263
Mini,202008,Electric,Third Owner,1440301
Tata,24239,Electric,Second Owner,2553029
Jeep,146488,Petrol,Third Owner,4040452
Kia,139484,CNG,Third Owner,4166680
Mitsubishi,86976,Electric,Fourth Owner,770038
Chevrolet,29406,CNG,Fourth Owner,2891327
Volkswagen,6875,Petrol,Fourth Owner,2747917
Renault,173138,Petrol,First Owner,2513122
Porsche,238144,CNG,Second Owner,559966
Porsche,141824,Electric,Third Owner,1692874
Citroen,222825,Petrol,Fourth Owner,2255285
Jaguar,214097,Diesel,First Owner,1387510
Maruti,137425,Petrol,Third Owner,2032108
Mahindra,163058,Electric,Third Owner,1064191
Mercedes,222979,Diesel,Fourth Owner,352572
MG,240973,Petrol,Third Owner,4797639
Citroen,19691,Electric,Third Owner,3401878
Maruti,205919,Electric,Third Owner,4360012
Hyundai,53075,Petrol,Fourth Owner,3000854
Maruti,15794,Electric,First Owner,355369
Maruti,204542,CNG,Third Owner,2334487
Tata,152478,Diesel,First Owner,898053
Nissan,80930,CNG,Third Owner,142369
Datsun,162944,Petrol,Fourth Owner,696880
Maruti,46708,CNG,First Owner,1470987
Nissan,120492,Petrol,Fourth Owner,3108374
Jaguar,111629,Petrol,Second Owner,900677
Isuzu,156872,Electric,Third Owner,1262558
Porsche,179469,Electric,Second Owner,1607588
Audi,128313,Petrol,Second Owner,4426728
Hyundai,173981,Diesel,Second Owner,1940251
BMW,26352,Diesel,Third Owner,4353788
Audi,106975,Diesel,Fourth Owner,2031391
Isuzu,98848,CNG,Second Owner,840100
Chevrolet,241668,Petrol,First Owner,2262854
Isuzu,151510,Electric,Third Owner,3660254
MG,224993,CNG,Fourth Owner,3880843
Volkswagen,49999,CNG,Fourth Owner,2083519
Hyundai,23482,Electric,Second Owner,4761065
Mahindra,168543,Petrol,Third Owner,4625991
Lexus,52279,CNG,Second Owner,1734916
Kia,114413,Petrol,First Owner,2958574
Jeep,242820,Petrol,Fourth Owner,4959387
Mercedes,59213,Petrol,Fourth Owner,245662
Skoda,118909,Electric,Third Owner,3064758
Fiat,18026,Petrol,Fourth Owner,2943596
Honda,243697,CNG,Third Owner,4531569
Force,90184,Electric,Second Owner,803543
BMW,10435,Electric,First Owner,2156297
Tata,144565,CNG,Third Owner,2698468
BMW,208299,Electric,Second Owner,1258845
Tata,64321,CNG,First Owner,2168671
Audi,138835,Diesel,Fourth Owner,4655754
Tata,25389,CNG,First Owner,4733877
MG,36498,Electric,First Owner,851790
Kia,68755,CNG,First Owner,506138
Mercedes,106545,Diesel,Fourth Owner,3767931
Mercedes,40825,Petrol,Third Owner,414291
MG,21934,Petrol,Third Owner,160631
Citroen,10574,Petrol,First Owner,4070623
Datsun,135698,Electric,Second Owner,3356389
Jaguar,174251,Diesel,Second Owner,1984313
Datsun,137659,CNG,First Owner,2337877
Volkswagen,47782,CNG,First Owner,385212
Force,240296,CNG,Second Owner,1305321
Audi,190484,CNG,First Owner,100570
Skoda,65561,Electric,First Owner,4138386
Jaguar,213296,Electric,Third Owner,181736
Renault,140481,Diesel,Third Owner,1861428
Toyota,132159,CNG,First Owner,4333225
BMW,207391,Petrol,First Owner,826403
Isuzu,235088,Electric,Fourth Owner,541575
Porsche,31751,Diesel,Third Owner,4363495
Isuzu,43174,Diesel,First Owner,640635
Honda,127678,Electric,Fourth Owner,122053
Tata,61572,Petrol,Fourth Owner,945488
Citroen,66416,Petrol,Fourth Owner,3828704
Mahindra,148113,CNG,Fourth Owner,4090610
Chevrolet,159299,Electric,Third Owner,3372113
Skoda,40201,Petrol,Fourth Owner,4923408
MG,41069,Electric,Third Owner,2572843
Porsche,218262,Diesel,Fourth Owner,4293861
Kia,31370,Diesel,Fourth Owner,2566374
Lexus,231090,Diesel,Second Owner,4808807
Kia,130342,Electric,Third Owner,1749282
Nissan,147658,CNG,Second Owner,3152080
Mitsubishi,186303,CNG,Second Owner,776538
Nissan,130758,Petrol,Fourth Owner,625002
Volvo,141394,Electric,Third Owner,1393041
Isuzu,70294,CNG,First Owner,2665135
Volvo,84468,Electric,Fourth Owner,2441691
Lexus,165371,CNG,Third Owner,2311464
Chevrolet,95715,Diesel,Second Owner,2794322
Toyota,75793,Diesel,Third Owner,779484
Nissan,182573,Petrol,Fourth Owner,2679952
Mercedes,193206,Diesel,Third Owner,2476807
Fiat,116672,CNG,Second Owner,338274
Lexus,145849,Petrol,Third Owner,2274719
Land Rover,147321,Petrol,Third Owner,1542970
Lexus,125902,Diesel,Second Owner,3444742
Volvo,26390,Electric,Fourth Owner,1233303
Kia,25369,Diesel,First Owner,577900
MG,148953,Diesel,Second Owner,4886852
BMW,14587,Petrol,Second Owner,790663
MG,229872,Diesel,Fourth Owner,1664884
Volvo,210399,CNG,Fourth Owner,3955101
Porsche,112009,Petrol,Third Owner,3727164
Ford,223983,Diesel,Second Owner,3330794
Mini,224219,Electric,Third Owner,2416722
Tata,243634,CNG,Third Owner,1394980
Force,143905,Electric,Fourth Owner,1932572
Honda,52013,CNG,Fourth Owner,569303
Citroen,122341,Electric,Third Owner,2252255
Mahindra,132785,Diesel,Second Owner,2414366
Volvo,199692,CNG,Second Owner,1000440
Honda,151826,Petrol,Third Owner,2135936
Fiat,112584,Petrol,First Owner,955056
Fiat,83113,Electric,First Owner,141456
Porsche,232703,Electric,Fourth Owner,2642902
Volkswagen,91784,Electric,Second Owner,2303381
Maruti,40282,CNG,Third Owner,4960378
Audi,172809,Petrol,Third Owner,2463608
Kia,233499,Diesel,Second Owner,4935528
Jeep,29124,CNG,Fourth Owner,4184077
Datsun,75102,Electric,Fourth Owner,1183791
Land Rover,138268,Petrol,First Owner,3997933
Isuzu,66527,Electric,Second Owner,2716254
Fiat,135371,Diesel,Second Owner,660552
Mini,135942,Diesel,Third Owner,4984148
Jaguar,101651,Petrol,Second Owner,449001
Ford,90395,CNG,First Owner,1004034
Toyota,16345,Diesel,Second Owner,2966548
Citroen,129544,Diesel,Third Owner,2821416
Kia,39077,Diesel,First Owner,4991826
Datsun,135429,Diesel,Third Owner,2657359
Jaguar,202472,Electric,Second Owner,4523049
Citroen,17055,Electric,Fourth Owner,3098228
Mini,108693,CNG,Second Owner,2761234
MG,90283,Petrol,Second Owner,3799253
Jeep,49484,Petrol,Third Owner,3359470
Volvo,82514,Petrol,Fourth Owner,2692650
Tata,95135,Diesel,Second Owner,3221269
Toyota,40771,Electric,First Owner,113417
Isuzu,248550,Electric,First Owner,1610702
Land Rover,193726,CNG,Third Owner,2080285
Hyundai,182612,Petrol,Third Owner,4396420
Toyota,219223,Electric,Fourth Owner,155443
Hyundai,242335,CNG,Third Owner,3726849
Volkswagen,115284,Petrol,Fourth Owner,315189
Hyundai,122399,Diesel,Second Owner,4812529
Toyota,109885,Electric,First Owner,1342185
BMW,165449,Electric,First Owner,1448668
Audi,231639,Petrol,First Owner,213612
Mahindra,185645,Diesel,Third Owner,543318
Volvo,178805,Diesel,Third Owner,1807542
Volvo,134344,Electric,Second Owner,704502
Isuzu,147832,Petrol,Third Owner,4589473
Porsche,118226,CNG,Fourth Owner,4344677
Fiat,104250,Electric,First Owner,2997972
Kia,30762,Diesel,Second Owner,969002
Honda,187058,CNG,Fourth Owner,1441640
Nissan,170404,Petrol,Fourth Owner,3149849
MG,176172,Diesel,Third Owner,246083
Mercedes,141016,CNG,Third Owner,984315
Land Rover,53825,Electric,First Owner,613205
Volkswagen,18877,Diesel,Second Owner,2743226
Maruti,166062,Petrol,Fourth Owner,379088
Honda,134065,Diesel,Third Owner,4630365
Isuzu,113443,Electric,Third Owner,272236
Mercedes,104612,Petrol,Second Owner,3453543
Toyota,122674,Electric,Second Owner,1046219
Renault,120074,CNG,Third Owner,2134987
Datsun,191355,Diesel,Third Owner,4227738
Lexus,139330,Electric,First Owner,2031903
Mahindra,36629,CNG,Second Owner,4563292
Kia,173651,Petrol,Fourth Owner,2960713
Chevrolet,159030,Petrol,Third Owner,2153398
Chevrolet,175537,CNG,Third Owner,3453212
Hyundai,221925,CNG,Third Owner,844227
Lexus,20775,Petrol,Third Owner,1127599
Ford,212647,Electric,First Owner,113144
Ford,230705,CNG,Second Owner,4288433
BMW,170279,Electric,Third Owner,3675589
Nissan,158625,Petrol,Second Owner,466099
Tata,246010,Electric,Fourth Owner,3258546
Datsun,189704,Electric,Fourth Owner,1410220
Porsche,5055,CNG,Fourth Owner,3282608
Citroen,93697,Electric,Fourth Owner,1995117
Fiat,168945,Electric,Second Owner,3664074
Volkswagen,106505,Electric,Fourth Owner,4452092
Chevrolet,85720,Petrol,Fourth Owner,858641
Mini,202277,Petrol,Third Owner,393441
Audi,83199,Diesel,Third Owner,1702356
Mitsubishi,161390,Petrol,Third Owner,862439
Jaguar,38734,Petrol,First Owner,4905453
Hyundai,218299,Diesel,Third Owner,3976812
Audi,154594,Diesel,Fourth Owner,3544678
BMW,147728,CNG,Second Owner,2271609
Jeep,151965,CNG,Fourth Owner,694173
Force,247465,Petrol,Second Owner,699479
Mitsubishi,21493,Electric,Fourth Owner,147674
Mitsubishi,139704,CNG,First Owner,1753279
Citroen,100872,CNG,Third Owner,405271
Hyundai,224720,Petrol,Fourth Owner,4711022
Honda,66779,Electric,Third Owner,303265
Ford,174524,Diesel,First Owner,2442517
Ford,149338,Diesel,First Owner,3427524
Maruti,126187,Petrol,Third Owner,499456
Mercedes,121603,Petrol,Third Owner,4774406
Kia,66607,Electric,Second Owner,4402193
Mini,21940,Petrol,Third Owner,2230047
Toyota,160075,Petrol,Third Owner,4140038
Nissan,132880,Petrol,Second Owner,898352
Lexus,103408,Electric,Fourth Owner,2932440
Volkswagen,39815,Petrol,Second Owner,704741
Skoda,166941,CNG,Fourth Owner,261715
Mahindra,54297,Electric,Fourth Owner,385395
Honda,65107,CNG,Fourth Owner,4056398
Porsche,87793,Electric,Second Owner,1732908
Chevrolet,152754,CNG,Second Owner,2355947
Renault,24622,Electric,First Owner,2815732
Mahindra,35408,Diesel,Fourth Owner,3909601
Fiat,144909,Petrol,Second Owner,1060820
Mahindra,200282,Petrol,First Owner,1021883
Kia,151479,Electric,Fourth Owner,206371
Datsun,165381,CNG,Second Owner,1290953
Tata,207990,Diesel,Second Owner,656010
Maruti,98190,CNG,Second Owner,2977309
Ford,154967,Petrol,Third Owner,4371988
Jaguar,235159,Petrol,First Owner,2252581
Mercedes,222984,CNG,Second Owner,3848453
Skoda,5370,Electric,Third Owner,4239656
Kia,119212,Electric,First Owner,4521011
Maruti,5486,CNG,First Owner,1323901
Mitsubishi,28762,Petrol,Third Owner,2611076
Porsche,31613,CNG,First Owner,820323
Jaguar,248876,Petrol,Third Owner,4059781
Citroen,8196,CNG,Fourth Owner,4717521
Mitsubishi,243928,Electric,Second Owner,2025238
Skoda,231009,Diesel,Third Owner,4399689
Ford,105565,Petrol,First Owner,1055288
Volkswagen,81349,Diesel,First Owner,4333454
Ford,69839,Electric,Fourth Owner,3760171
Kia,177988,CNG,Fourth Owner,209756
Ford,13572,Electric,Fourth Owner,581588
Jeep,249384,Diesel,Fourth Owner,4218776
Jeep,164297,Electric,Fourth Owner,4845753
Mini,50853,Electric,Second Owner,3639961
Kia,185462,CNG,Third Owner,251957
Mini,168347,Diesel,Fourth Owner,201351
Citroen,77379,Diesel,Fourth Owner,4340564
Volkswagen,137177,Diesel,Second Owner,2600628
Volkswagen,121074,Petrol,Third Owner,802022
BMW,195968,Electric,Fourth Owner,3192049
Kia,48209,Diesel,Third Owner,2383323
Force,233247,Electric,Third Owner,1341954
Fiat,178559,CNG,Second Owner,2619598
Jaguar,154123,CNG,Second Owner,911201
MG,99244,Petrol,Fourth Owner,2564991
Chevrolet,237067,Petrol,First Owner,2887726
Hyundai,213472,CNG,Second Owner,132492
Tata,105300,Diesel,Third Owner,4095927
Ford,203033,CNG,Third Owner,3832489
Jaguar,196228,Electric,Fourth Owner,2306167
Isuzu,119682,Petrol,Fourth Owner,341495
Fiat,62175,Petrol,Fourth Owner,3249415
Maruti,142921,CNG,Third Owner,2655003
Lexus,106551,Diesel,Second Owner,3843416
Honda,23976,Diesel,First Owner,958095
BMW,135617,Electric,Second Owner,4701354
Ford,104794,Petrol,First Owner,2599289
Land Rover,61866,CNG,Second Owner,2052256
Force,122752,CNG,Fourth Owner,783933
Ford,52078,Petrol,Third Owner,924308
Maruti,36113,CNG,First Owner,2987850
Jeep,20401,Petrol,Second Owner,1763100
Volvo,148956,Diesel,Third Owner,2860878
Chevrolet,220432,Diesel,First Owner,2691223
Kia,173635,CNG,First Owner,2266536
Mahindra,170486,Diesel,Third Owner,758816
Jaguar,152214,Diesel,Fourth Owner,2412902
Land Rover,248682,Electric,Third Owner,4437407
MG,76492,Petrol,Fourth Owner,2282827
Mini,215536,Petrol,Second Owner,2872538
Force,211329,CNG,Second Owner,3810903
Skoda,81693,Petrol,Third Owner,259849
Datsun,40135,Electric,Fourth Owner,4427036
Hyundai,208304,CNG,Second Owner,2160682
Mitsubishi,32862,CNG,Fourth Owner,309816
MG,141262,Petrol,Fourth Owner,1781884
Fiat,75199,Diesel,Fourth Owner,416882
Mitsubishi,110366,Diesel,Third Owner,3946865
Audi,9331,Diesel,Fourth Owner,1368026
Mini,188258,Diesel,Third Owner,1272764
Volkswagen,49648,Electric,Second Owner,2055821
Skoda,33549,CNG,Second Owner,4686759
MG,217854,Diesel,First Owner,460069
Lexus,30761,Electric,First Owner,2258956
Kia,8262,CNG,Second Owner,2241153
BMW,247696,Petrol,Fourth Owner,4477278
Jaguar,187331,Petrol,Fourth Owner,377883
Lexus,77572,Electric,Second Owner,1126693
Datsun,189544,CNG,Second Owner,3056596
Nissan,92858,Diesel,First Owner,113699
Jaguar,89667,CNG,Fourth Owner,2331028
Renault,9677,Diesel,Second Owner,3687848
MG,209580,Electric,First Owner,3693540
Mahindra,135334,Diesel,First Owner,3426793
Citroen,216937,Electric,Fourth Owner,2654734
Lexus,238640,CNG,First Owner,662631
Mercedes,106437,CNG,First Owner,2974710
MG,245988,Diesel,Third Owner,733273
Land Rover,186689,CNG,Second Owner,426380
Maruti,222101,Diesel,Fourth Owner,3422674
Lexus,154667,CNG,Second Owner,1278601
Mercedes,223531,Petrol,Third Owner,1901101
Fiat,65148,Diesel,Fourth Owner,1139586
BMW,51926,Electric,Second Owner,3701596
Ford,80271,Petrol,First Owner,1786736
Volkswagen,39457,Electric,Fourth Owner,4932827
Porsche,47531,CNG,Third Owner,1656681
Volkswagen,209335,Petrol,First Owner,952719
Hyundai,209372,CNG,Third Owner,3357269
Maruti,133027,Diesel,First Owner,3489812
Lexus,199243,Electric,Second Owner,1516569
Lexus,50771,CNG,Second Owner,527189
Isuzu,98135,Electric,Second Owner,1354696
Skoda,71354,Electric,Third Owner,1222734
Mahindra,117743,CNG,Fourth Owner,2654545
Datsun,249453,Diesel,Second Owner,222207
MG,173361,Electric,Third Owner,1251563
MG,38892,CNG,First Owner,1733325
Jeep,207268,Diesel,Second Owner,1691522
Isuzu,134662,CNG,First Owner,2843651
Mercedes,100057,Diesel,Second Owner,1446853
Volkswagen,43409,Electric,First Owner,3984271
Mercedes,170542,Petrol,Third Owner,3633147
Jeep,154457,CNG,Second Owner,2627435
Kia,159368,Electric,Third Owner,3708213
Force,123566,CNG,Third Owner,2357899
Mercedes,66716,CNG,First Owner,1673724
Mitsubishi,94152,Diesel,Second Owner,3011202
Chevrolet,31382,CNG,Fourth Owner,2195416
Toyota,81675,Diesel,Fourth Owner,2190898
Maruti,233668,Electric,Third Owner,4114216
Maruti,27419,CNG,First Owner,3071251
Volvo,229393,Electric,First Owner,701248
Renault,86238,Petrol,First Owner,4857146
Chevrolet,230825,Electric,Second Owner,502561
Land Rover,175363,CNG,Second Owner,3369176
Renault,17397,Petrol,First Owner,324094
Ford,242487,Diesel,Fourth Owner,2481880
Tata,62888,Petrol,Fourth Owner,1672239
Isuzu,40169,CNG,Second Owner,2158602
Datsun,67182,CNG,First Owner,3257326
Citroen,97476,Electric,Fourth Owner,3974949
Hyundai,47249,Diesel,Fourth Owner,1560237
MG,164413,CNG,Second Owner,2168762
BMW,80603,CNG,Second Owner,405957
Tata,182216,Diesel,Fourth Owner,2563722
Maruti,197844,Diesel,First Owner,265635
Tata,84360,Electric,Fourth Owner,4173273
Mitsubishi,18444,Petrol,Fourth Owner,2643833
Renault,181719,Diesel,First Owner,3611016
Nissan,128662,CNG,Second Owner,4589072
Tata,103843,Diesel,First Owner,1880391
Land Rover,15974,CNG,First Owner,1930376
Nissan,117150,Electric,First Owner,852612
Tata,174455,Petrol,First Owner,281465
Skoda,99826,Electric,Second Owner,2854355
Toyota,217624,Diesel,Fourth Owner,2124936
Hyundai,102648,CNG,Third Owner,820820
Fiat,230121,Diesel,Second Owner,3241730
BMW,139028,Diesel,First Owner,784213
Chevrolet,144149,Diesel,Fourth Owner,4231048
Toyota,41490,Diesel,Fourth Owner,195324
BMW,246435,Petrol,First Owner,2726007
Volvo,129713,CNG,Second Owner,588963
BMW,239463,Diesel,First Owner,305908
Hyundai,244714,CNG,Fourth Owner,2521414
MG,60612,Petrol,Fourth Owner,3501978
Nissan,105474,CNG,Second Owner,3080948
Tata,41159,CNG,Third Owner,2749000
Lexus,44710,Petrol,First Owner,708856
Volvo,219608,Diesel,Third Owner,4931838
Nissan,149878,CNG,Fourth Owner,3454486
Skoda,118096,Electric,Third Owner,3904459
Maruti,214417,CNG,First Owner,4641797
Mini,216463,Diesel,First Owner,1273036
Datsun,112412,Electric,Fourth Owner,285084
Porsche,99924,Diesel,Second Owner,2462228
Audi,11458,CNG,Second Owner,1038974
Mitsubishi,135993,Petrol,Fourth Owner,1158354
Land Rover,40524,Diesel,First Owner,765664
Volkswagen,142925,Diesel,Second Owner,3503317
Maruti,45477,Petrol,Third Owner,4683889
Kia,37222,CNG,Fourth Owner,2604775
Isuzu,23320,Diesel,Third Owner,4802226
Audi,99154,CNG,First Owner,4411561
Volkswagen,57243,CNG,Second Owner,738935
Land Rover,181687,CNG,First Owner,142666
Volvo,153424,Petrol,Third Owner,3393598
Citroen,77833,CNG,First Owner,3975179
Fiat,98476,CNG,First Owner,962735
Mitsubishi,119560,Electric,Fourth Owner,1411823
Maruti,139275,Electric,Fourth Owner,2886451
Jeep,44267,Electric,First Owner,1076546
Jeep,42941,Diesel,Fourth Owner,3582042
Honda,87809,Diesel,First Owner,2957224
Kia,30368,Electric,Third Owner,1947143
BMW,82186,Petrol,Fourth Owner,481577
Isuzu,35984,Petrol,First Owner,1497201
Skoda,178013,Electric,Fourth Owner,2713228
Honda,208990,Diesel,First Owner,4034749
Mercedes,188755,Diesel,Fourth Owner,633983
Chevrolet,5801,Petrol,Second Owner,312135
Chevrolet,111538,CNG,First Owner,2989306
Mahindra,117201,Petrol,Second Owner,494057
Hyundai,52965,CNG,First Owner,774091
Chevrolet,90269,Diesel,Second Owner,2584397
Tata,146041,Diesel,First Owner,4859575
Honda,40969,Electric,Fourth Owner,129402
Land Rover,218341,Diesel,Second Owner,4592917
Isuzu,168521,CNG,Fourth Owner,1995584
Mercedes,96679,Petrol,First Owner,4354573
Renault,161777,Electric,Fourth Owner,4860823
Hyundai,196375,CNG,First Owner,3028805
BMW,33363,Petrol,Fourth Owner,4175947
Citroen,166792,Petrol,Second Owner,1735236
Land Rover,146044,Petrol,First Owner,774698
Fiat,38351,Diesel,Fourth Owner,1305823
Isuzu,116023,Petrol,First Owner,3747106
Mitsubishi,172217,Diesel,First Owner,4159959
Kia,92948,Petrol,First Owner,1541640
Ford,225686,Petrol,Third Owner,4619553
Hyundai,224188,Diesel,First Owner,4541227
Renault,61235,Diesel,Fourth Owner,2739105
Ford,19855,CNG,Third Owner,2666760
Volkswagen,172241,Petrol,Fourth Owner,3080220
Kia,182476,Diesel,Third Owner,4844376
Toyota,155641,CNG,First Owner,4081614
Volkswagen,130074,CNG,Second Owner,939843
Skoda,59437,Diesel,Second Owner,1269027
Renault,184578,Petrol,First Owner,859642
Lexus,161810,CNG,Third Owner,4368929
BMW,142844,Petrol,Fourth Owner,3471790
Chevrolet,95410,Petrol,Second Owner,370298
MG,24731,CNG,First Owner,2172567
Kia,146203,Diesel,First Owner,3406198
Force,71324,Petrol,Third Owner,463810
Skoda,190169,Electric,Second Owner,1847805
Nissan,86720,Diesel,First Owner,1148018
Land Rover,101433,CNG,Second Owner,1601499
Lexus,7889,Electric,Fourth Owner,2313852
Skoda,14569,Petrol,First Owner,4319695
Lexus,92193,Diesel,First Owner,2881334
Renault,211749,Electric,Fourth Owner,3545744
Volkswagen,90192,Diesel,First Owner,2272200
Land Rover,92154,Petrol,Third Owner,260412
Citroen,213542,Diesel,Fourth Owner,2803045
Volkswagen,113073,Electric,Third Owner,2573855
Mitsubishi,224894,Diesel,Fourth Owner,1770636
Toyota,12612,CNG,Fourth Owner,1238119
Skoda,56644,CNG,Third Owner,3435176
Volvo,37069,Electric,Fourth Owner,1154613
Volkswagen,86741,Diesel,Second Owner,2902819
Toyota,163403,Electric,Third Owner,4000388
Land Rover,60897,Diesel,Fourth Owner,2162199
Nissan,150006,Petrol,Third Owner,514809
Porsche,146167,CNG,Fourth Owner,675985
Volvo,227566,Petrol,Fourth Owner,3793165
Hyundai,107544,Diesel,Second Owner,641025
Chevrolet,23706,Petrol,Second Owner,1216430
